Tearing Me Up	Bob Moses	http://soundcloud.com/the-bob-moses/tearing-me-up-1
Textile Baby	Sample Answer	http://soundcloud.com/sampleanswer/textile-baby
Wishin'	Tom Bailey	http://soundcloud.com/tom-bailey/wishing-10
Sober (Childish Gambino Cover)	Miami Horror feat. Queen Magic	http://soundcloud.com/miami-horror/miami-horror-sober-feat-queen-magic
Sleeping Alone	The Cactus Channel feat. Chet Faker	http://soundcloud.com/hopestreet-recordings/2-the-cactus-channel-feat-chet
Swept Away	Vanilla	http://soundcloud.com/vanilla/swept-away
All That I Need	Max Pope	http://soundcloud.com/maxthepope/maxpope-all-that-i-need
Hold On	AMTRAC	http://soundcloud.com/amtrac/hold-on
DTTM (Don't Talk To Me)	XOV	http://soundcloud.com/xov/dttm
Cut The Rope	Semma	http://soundcloud.com/semma/cut-the-rope
Could Heaven Ever Be Like This	Tom Redwood	http://soundcloud.com/tomredwood/could-heaven-ever-be-like-this
Rocket Man	Astronauts, etc. feat. Toro y Moi	http://soundcloud.com/company-record-label/astronauts-etc-feat-toro-y-moi-rocket-man
Good Girl	AQUILO	http://soundcloud.com/aquilo/good-girl
Good Feeling	Jodie Abacus	http://soundcloud.com/jodieabacus/good-feeling-1
Colourblind	Les Loups feat. Cybil	http://soundcloud.com/les-loups/colourblind
The Nile	Kisses	http://soundcloud.com/kisses/the-nile
Winter	North Elements feat. AAA+	http://soundcloud.com/northelements/winter-feat-aaa-1
Instinct	Ritual	http://soundcloud.com/ritual_music/r-i-t-u-a-l-instinct-2
We're Not Just Friends	Parks, Squares and Alleys	http://soundcloud.com/parrkssquares/were-not-just-friends
Walls	Slaptop	http://soundcloud.com/slaptop/walls
Rivers	Thomas Jack (HUGEL remix)	http://soundcloud.com/hugelmusic/thomas-jack-rivers-hugel-1
Withdrawal	Max Frost	http://soundcloud.com/maxfrostmusic/withdrawal
Somebody New	Joywave (St. Lucia remix)	http://soundcloud.com/joywave/somebody-new-st-lucia-remix
Pools	Harrison Brome	http://soundcloud.com/harrisonbrome/pools
No Place Like Home	HONNE feat. Jones	http://soundcloud.com/hellohonne/no-place-like-home
Be Right Back	Ménage à Trois	http://soundcloud.com/crackirecords/me-nage-a-trois-be-right-back
Harbor	Tropics	http://soundcloud.com/innovativeleisure/tropics-harbor
Redlight	KRONO feat. VanJess	http://soundcloud.com/kronopage/krono-ft-vanjess-redlight
Do You Go Up	KHAI	http://soundcloud.com/khaitunes/khai-do-u-go-up
Remembering Myself	Stephen	http://soundcloud.com/ithinkimcrashin/stephen-remembering-myself
Oh Dystopia	Léo Islo (Mattanoll remix)	http://soundcloud.com/openinglight/leo-islo-oh-dystopia-mattanoll-remix
Sleep In	Telekinesis	http://soundcloud.com/mergerecords/telekinesis-sleep-in
I Will For Love	Rudimental feat. Will Heard (Embody remix)	http://soundcloud.com/iamembody/rudimental-ft-will-heard-i-will-for-love-embody-remix
Shakedown	Equal feat. Seja	http://soundcloud.com/djequal/shakedown-feat-seja-1
Beautiful Escape	Tom Misch feat. Zak Abel	http://soundcloud.com/tommisch/11-tom-misch-beautiful
Love Is A Losing Game	Sapele	http://soundcloud.com/dirtysoulmusic/sapele-love-is-a-losing-game
Motor City Livin'	CJ Warren feat. L.A.Z	http://soundcloud.com/cjwarren313/motorcitylivin
London Thunder	Foals	http://soundcloud.com/foals/london-thunder
Killswitch	Chet Faker	http://soundcloud.com/chet-faker/killswitch
City Lights	Andy Kong	http://soundcloud.com/andy-kong/city-lights
Full Time	Leland (Keljet remix)	http://soundcloud.com/keljet/leland-full-time-keljet-remix
Melt	TENDER	http://soundcloud.com/tender-music/melt-1
Anybody Else	Phillip Gardner Cook	http://soundcloud.com/phillip-g-cook/anybody-else
Make You Feel	Alina Baraz & Galimatias (Hotel Garuda remix)	http://soundcloud.com/hotelgarudamusic/alina-baraz-galimitias-make-you-feel-hotel-garuda-remix
Body Tonight	Sharer	http://soundcloud.com/sharermusic/body-tonight
All Night	Slum Sociable	http://soundcloud.com/slumsociable/all-night
Good Feeling	Jodie Abacus (MXXWLL remix)	http://soundcloud.com/mxxwllofficial/goodfeelingmxxwllrmx
September	Earth, Wind & Fire (Hambleton remix)	http://soundcloud.com/hambletonmusic/earth-wind-fire-september-hambleton-remix
Hearse	Will Joseph Cook	http://soundcloud.com/will-joseph-cook/hearse
Voices	Deaths	http://soundcloud.com/churchofdeaths/voices
Stand In Your Line	Dornik (Jungle remix)	http://soundcloud.com/dornik/stand-in-your-line-jungle-remix
Nightcall	Kant	http://soundcloud.com/kantmusic/kant-nightcall-1
Fast Car	Tracy Chapman (Navarra remix)	http://soundcloud.com/thefallingapple/tracy-chapman-fast-car-bauke-top-remix
Your Love	Without	http://soundcloud.com/withoutofficial/your-love-1
Indian Summer	Blood Cultures	http://soundcloud.com/blood-cultures/indian-summer
Silver Linings	Leo Kalyan	http://soundcloud.com/leokalyan/leo-kalyan-silver-linings
Go	Down Time	http://soundcloud.com/down-time/go-1
Weekend Millionaires	Katelyn Tarver (Samuraii remix)	http://soundcloud.com/samurajj/katelyn-tarver-weekend-millionaires-samuraii-remix
Slumlord	Neon Indian	http://soundcloud.com/neonindian/slumlord
Dancer On The Shore	Lemonade feat. Dee Dee	http://soundcloud.com/cascine/lemonade-dancer-on-the-shore-feat-dee-dee
Everybody Knows	RAEKO feat. Mating Ritual	http://soundcloud.com/raekomusic/everybody-knows-ft-mating-ritual
Fly Away For A Summer	FLAUSEN	http://soundcloud.com/tdg_music/flausen-ft-ben-cocks-fly-away-for-a-summer-achtabahn-mix
Ain't Gon' Stop	Sol	http://soundcloud.com/solzilla/aint-gon-stop
Water	Sunni Colón (Valleyz remix)	http://soundcloud.com/valleyz/sunni-colon-water-valleyz-flip
Rose	Free n Losh feat. Bethea	http://soundcloud.com/free-n-losh/free-n-losh-rose-ft-bethea-1
Can I Get Witcha	The Notorious B.I.G. (Zebra Safari remix)	http://soundcloud.com/zebra-safari/can-i-get-witcha-zebra-safari-remake
Move Me	POOLCLVB feat. Natalie Conway	http://soundcloud.com/poolclvb/move-me
Champain	Terence Ryan	http://soundcloud.com/3qtr/champain
Waiting For You	Flamingo Pier	http://soundcloud.com/flamingopier/fp-waiting-for-you
Summerjam	Tom of Finland	http://soundcloud.com/razor-n-tape/tom-of-finland-summerjam
Ocean Drive	Duke Dumont	http://soundcloud.com/dukedumont/duke-dumont-ocean-drive-1
Tired of Talking	LÉON	http://soundcloud.com/itsleonleon/tiredoftalking
Boys Life	Small Black	http://soundcloud.com/jagjaguwar/small-black-boys-life
Sunshine	TIEKS feat. Dan Harkna	http://soundcloud.com/tieks/tieks-sunshine-radio-edit-1
True	Chad Valley	http://soundcloud.com/cascine/chad-valley-true-1
Since You Asked	Swim Good x Merival (Star Slinger remix)	http://soundcloud.com/starslingeruk/swim-good-x-merival-since-you-asked-star-slinger-edit-1
Who Are You	Hansmann & Klausing	http://soundcloud.com/hansmannklausing/who-are-you-radio-edit
Come Back Baby	Flush	http://soundcloud.com/aeroplane/flush-come-back-baby
All I Wanted	One T	http://soundcloud.com/one_t/alliwanted
Her	Howqua	http://soundcloud.com/howquamusic/her
Fuel to the Fire	Rationale	http://soundcloud.com/iamrationale/fuel-to-the-fire
Lost (Frank Ocean cover)	Major Lazer	http://soundcloud.com/majorlazer/major-lazer-lost-feat-mo-frank-ocean-cover
Suburban Nights	Sean Nicholas Savage	http://soundcloud.com/arbutus-records/sean-nicholas-savage_suburban-nights-1
Friends Of Mine	Ben Browning (Wild & Free remix)	http://soundcloud.com/benbrowning/ben-browning-friends-of-mine-wild-free-remix
Heart Attack (Julian Hamilton Rework)	Flight Facilities	http://soundcloud.com/futureclassic/flight-facilities-heart-attack-julian-hamilton-rework
Drops	FKJ feat. Tom Bailey	http://soundcloud.com/fkj-2/fkj-feat-tom-bailey-drops
So Good	Beat Connection	http://soundcloud.com/beatconnexion/sogood
Ignite	RKCB	http://soundcloud.com/rkcbmusic/rkcb-ignite
All I See	jackLNDN	http://soundcloud.com/jacklndn/all-i-see-1
Then Came You	Shirts & Skins	http://soundcloud.com/shirts_skins/then-came-you
Midnight Island	Harrison Brome	http://soundcloud.com/harrisonbrome/midnight-island
Entropy	Klyne	http://soundcloud.com/thisisklyne/entropy-1
About You	Fine Print	http://soundcloud.com/fine-print-2/about-you-fine-print
Hailslide	Júníus Meyvant	http://soundcloud.com/recordrecords/juniusmeyvant-hailslide
Outta My Head	LYAR feat. Blest Jones	http://soundcloud.com/lyar/lyar-outta-my-head-ft-blest-jones
Miss Mirage	NoMBe	http://soundcloud.com/nombe/miss-mirage
Empty me Out	Liz Vice	http://soundcloud.com/liz-vice/empty-me-out
No Less	SG Lewis (Kartell remix)	http://soundcloud.com/kartell/sg-lewis-no-less-kartell-remix-1
No Words	Erik Hassle (Millesim remix)	http://soundcloud.com/dj-jad-3/erik-hassle-no-words-millesim-remix
Waterfalls	Bag Raiders	http://soundcloud.com/bagraiders/waterfalls-1
Disco Dodo	Count Counsellor	http://soundcloud.com/countcounsellor/disco-dodo
Good Boy	Sample Answer	http://soundcloud.com/sampleanswer/goodboy
Champagne Champion	Wes Period (Freak Island remix)	http://soundcloud.com/freakisland/wes-period-champagne-champion
Stay (ROOM8 Remix)	Say Say.	http://soundcloud.com/say-say-band/stay-room8-remix
Undercover	Lane 8 feat. Matthew Dear	http://soundcloud.com/lane8music/undercover
Footsteps	Vanilla	http://soundcloud.com/vanilla/footsteps
Them Changes	Thundercat	http://soundcloud.com/brainfeeder/thundercat-them-changes
Downright	Trails and Ways (Falcon Punch remix)	http://soundcloud.com/falcon-punch/downright-falcon-punch-remix
Ruby	Coucheron	http://soundcloud.com/coucheron/ruby
Lightness	Dead Times	http://soundcloud.com/dead-times/lightness-2
Weight In Gold	Gallant	http://soundcloud.com/gallant/weight-in-gold
Weathered	Jack Garratt	http://soundcloud.com/jack-garratt/weathered
King	Grades (Basic Tape remix)	http://soundcloud.com/basic-tape/grades-king-basic-tape-remix
Why Do I Do	Sam Padrul feat. Jason Gaffner	http://soundcloud.com/sam-padrul/why-do-i-do
I Found You	Gibbz	http://soundcloud.com/gibbzmusic/i-found-you-gibbz
Wildfire	Scavenger Hunt (Bee’s Knees remix)	http://soundcloud.com/scavengerhunt/wildfire-bees-knees-remix-1
Heartbreak Reputation	Zimmer feat. Polina	http://soundcloud.com/yourdailyhousemusic/zimmer-heartbreak-reputation-ft-polina
(I Know) What You Want	András & Oscar	http://soundcloud.com/andras_music/andras-oscar-i-know-what-you-want
Thinkin About	Joe	http://soundcloud.com/krystyan-budurin/joe-thinkin-about
Evolution	Gypsy & The Cat feat. Client Liaison	http://soundcloud.com/gypsyandthecat/evolution
A Groove	Kisses	http://soundcloud.com/kisses/a-groove
Without Your Love	Tuxedo	http://soundcloud.com/tuxedofunk/withoutyourlove
Take A Chance	Moullinex (Satin Jackets remix)	http://soundcloud.com/moullinex/moullinex-take-a-chance-satin-jackets-remix
Paralyzed	Klyne	http://soundcloud.com/thisisklyne/paralyzed
Little Red Corvette (Prince Rework)	James Chatburn	http://soundcloud.com/jameschatburn/littleredcorvette
